item_key,catalog_type,catalog_name,match_status,match_score,asin,amazon_title,amazon_url,purchase_ppu,quantity_total,item_net_total,order_date,seller_name,brand,amazon_category
10_hceramic_coating,consumable,10 HCeramic Coating,unmatched,0.389,B09VGXDPRY,"JDiction UV Resin, Upgrade 300g High Viscosity Hard UV Resin with Crystal Clear Resin Kit for Doming, Sealing, Coating, and Casting",https://www.amazon.ca/dp/B09VGXDPRY,58.24,3.0,212.98,2023/11/26,WINGS SHOP's,JDiction,"Business, Industrial, & Scientific Supplies Basic"
3_dscratch_remover,consumable,3 DScratch Remover,unmatched,0.445,B01KXE39QY,"Calcium, Lime, and Rust Remover - 2 Pack",https://www.amazon.ca/dp/B01KXE39QY,32.44,1.0,36.66,2025/01/09,Naf products,Jelmar,Health and Beauty
9_piece_shop_vac_attachments,consumable,9 Piece Shop Vac Attachments,review,0.56,B0BD55PS3F,"9 Pcs Universal Vacuum Attachments for Shop Vac Accessories - 2 1/2"" to 1 1/4"" Hose Adapter for Shop Vac, 1 7/8"" to 1"" Vacuum Hose Adapter, 1 1/4"" Vac",https://www.amazon.ca/dp/B0BD55PS3F,41.49,1.0,46.88,2023/10/06,lanxingyuan,GIB cleaningtool,Home Improvement
adams_graphene_coating,consumable,Adams Graphene Coating,unmatched,0.456,B0C2FX3WB4,"Graphene Ceramic Spray Coating - LAST SO LONG! Quick & Easy for Cars, Motorcycles, Boats & More - Professional-Grade Sealant for Maximum Gloss & Shine - Waterless Wash & Wax - 9oz Bottle",https://www.amazon.ca/dp/B0C2FX3WB4,29.97,1.0,33.87,2025/01/28,Magic AutoCare,Magic Shield,"Business, Industrial, & Scientific Supplies Basic"
adams_tar_remover,consumable,Adams Tar Remover,unmatched,0.465,B06Y1T9PLH,"Meguiar's G180515 Bug & Tar Remover, 15 Ounces",https://www.amazon.ca/dp/B06Y1T9PLH,27.95,1.0,31.58,2024/05/09,HITCHWEB CANADA,Meguiar's,Automotive Parts and Accessories
air_fed_system_chemical_mask_gas,consumable,Air Fed System Chemical Mask Gas,review,0.591,B08MKQ548W,"Electric Constant Flow Supplied Air Fed System Chemical Mask Gas Mask Dustproof Respirator Paint Pesticide Spray Silicone Full Face Filters for Laboratory Welding,Set 1",https://www.amazon.ca/dp/B08MKQ548W,219.89,1.0,219.89,2023/09/18,ENZEP,ZYC,Sports
autofiber_scrub_ninja_interior_scrubbing_sponge_5_x_3_for_leather_plastic_vinyl_and_upholstery_clean,consumable,"Autofiber Scrub Ninja Interior Scrubbing Sponge (5”x 3”) for Leather, Plastic, Vinyl and Upholstery Cleaning (Black Gray)",strong,0.963,B09B4LVKPN,"Autofiber Scrub Ninja - Interior Scrubbing Sponge (5""x3"") for Leather, Plastic, Vinyl and Upholstery Cleaning (Black/Gray)",https://www.amazon.ca/dp/B09B4LVKPN,19.28,1.0,19.28,2024/05/09,"Super Detail, Inc.",Autofiber,Kitchen
bafxobd_11,consumable,BAFXOBD 11,unmatched,0.283,B00D1G8XA4,BIC Razor Hybrid3 3-Blade 6-Count,https://www.amazon.ca/dp/B00D1G8XA4,6.92,1.0,7.82,2022/11/25,Amazon,BIC,Beauty
bissell_2891_v,consumable,Bissell 2891 V,unmatched,0.356,B08DBW17HD,"Bissell 2891V Spotclean Professional Portable Carpet And Upholstery Deep Cleaner With Full-Sized 5.9 Amp, 5Ft Hose With 3"" Tough Stain Brush, 3-In-1 S",https://www.amazon.ca/dp/B08DBW17HD,199.97,1.0,225.97,2023/09/28,Amazon.ca,Bissell,Home
bucket_washboard,consumable,Bucket Washboard,review,0.526,B07WRQN1T5,2PCS 9.25'' Car Wash Washboard Insert Bucket Dirt Remove Filte Black 23.5cm,https://www.amazon.ca/dp/B07WRQN1T5,15.99,1.0,18.07,2023/10/31,Auto-Plaza,Auto-plaza,Automotive Parts and Accessories
