No.,Check,Group,Website image location,Page,Variant,Target key,Manual assignment
1,[ ],Package Card,Premium Wash — default package card,/services,default,package:premium_wash:default,Check live Photo Studio
2,[ ],Package Card,Premium Wash — Small vehicle,/services,small,package:premium_wash:small,Check live Photo Studio
3,[ ],Package Card,Premium Wash — Mid-size vehicle,/services,mid,package:premium_wash:mid,Check live Photo Studio
4,[ ],Package Card,Premium Wash — Large/oversize vehicle,/services,oversize,package:premium_wash:oversize,Check live Photo Studio
5,[ ],Package Card,Basic Detail — default package card,/services,default,package:basic_detail:default,Check live Photo Studio
6,[ ],Package Card,Basic Detail — Small vehicle,/services,small,package:basic_detail:small,Check live Photo Studio
7,[ ],Package Card,Basic Detail — Mid-size vehicle,/services,mid,package:basic_detail:mid,Check live Photo Studio
8,[ ],Package Card,Basic Detail — Large/oversize vehicle,/services,oversize,package:basic_detail:oversize,Check live Photo Studio
9,[ ],Package Card,Complete Detail — default package card,/services,default,package:complete_detail:default,Check live Photo Studio
10,[ ],Package Card,Complete Detail — Small vehicle,/services,small,package:complete_detail:small,Check live Photo Studio
11,[ ],Package Card,Complete Detail — Mid-size vehicle,/services,mid,package:complete_detail:mid,Check live Photo Studio
12,[ ],Package Card,Complete Detail — Large/oversize vehicle,/services,oversize,package:complete_detail:oversize,Check live Photo Studio
13,[ ],Package Card,Interior Detail — default package card,/services,default,package:interior_detail:default,Check live Photo Studio
14,[ ],Package Card,Interior Detail — Small vehicle,/services,small,package:interior_detail:small,Check live Photo Studio
15,[ ],Package Card,Interior Detail — Mid-size vehicle,/services,mid,package:interior_detail:mid,Check live Photo Studio
16,[ ],Package Card,Interior Detail — Large/oversize vehicle,/services,oversize,package:interior_detail:oversize,Check live Photo Studio
17,[ ],Package Card,Exterior Detail — default package card,/services,default,package:exterior_detail:default,Check live Photo Studio
18,[ ],Package Card,Exterior Detail — Small vehicle,/services,small,package:exterior_detail:small,Check live Photo Studio
19,[ ],Package Card,Exterior Detail — Mid-size vehicle,/services,mid,package:exterior_detail:mid,Check live Photo Studio
20,[ ],Package Card,Exterior Detail — Large/oversize vehicle,/services,oversize,package:exterior_detail:oversize,Check live Photo Studio
21,[ ],Addon Card,Full Clay Treatment — service/add-on card,/services,,addon:full_clay_treatment,Check live Photo Studio
22,[ ],Addon Card,Two Stage Polish — service/add-on card,/services,,addon:two_stage_polish,Check live Photo Studio
23,[ ],Addon Card,High Grade Paint Sealant — service/add-on card,/services,,addon:high_grade_paint_sealant,Check live Photo Studio
24,[ ],Addon Card,UV Protectant Applied on Interior Panels — service/add-on card,/services,,addon:uv_protectant_applied_on_interior_panels,Check live Photo Studio
25,[ ],Addon Card,De-Ionizing Treatment — service/add-on card,/services,,addon:de_ionizing_treatment,Check live Photo Studio
26,[ ],Addon Card,De-Badging — service/add-on card,/services,,addon:de_badging,Check live Photo Studio
27,[ ],Addon Card,Engine Cleaning — service/add-on card,/services,,addon:engine_cleaning,Check live Photo Studio
28,[ ],Addon Card,External Ceramic Coating — service/add-on card,/services,,addon:external_ceramic_coating,Check live Photo Studio
29,[ ],Addon Card,External Graphene Fine Finish — service/add-on card,/services,,addon:external_graphene_fine_finish,Check live Photo Studio
30,[ ],Addon Card,External Wax — service/add-on card,/services,,addon:external_wax,Check live Photo Studio
31,[ ],Addon Card,Vinyl Wrapping — service/add-on card,/services,,addon:vinyl_wrapping,Check live Photo Studio
32,[ ],Addon Card,Window Tinting — service/add-on card,/services,,addon:window_tinting,Check live Photo Studio
33,[ ],Addon Card,Pet Hair Removal — service/add-on card,/services,,addon:pet_hair_removal,Check live Photo Studio
34,[ ],Addon Card,Odor Treatment — service/add-on card,/services,,addon:odor_treatment,Check live Photo Studio
35,[ ],Addon Card,Seat Shampoo — service/add-on card,/services,,addon:seat_shampoo,Check live Photo Studio
36,[ ],Addon Card,Carpet Shampoo — service/add-on card,/services,,addon:carpet_shampoo,Check live Photo Studio
37,[ ],Addon Card,Salt Stain Treatment — service/add-on card,/services,,addon:salt_stain_treatment,Check live Photo Studio
38,[ ],Addon Card,Headlight Restoration — service/add-on card,/services,,addon:headlight_restoration_addon,Check live Photo Studio
39,[ ],Addon Card,Windshield Ceramic Coating — service/add-on card,/services,,addon:windshield_ceramic_coating,Check live Photo Studio
40,[ ],Addon Card,Ceramic Spray Protection — service/add-on card,/services,,addon:ceramic_spray_wax,Check live Photo Studio
41,[ ],Addon Card,Trim Restoration — service/add-on card,/services,,addon:trim_restoration,Check live Photo Studio
42,[ ],Addon Card,Bug and Tar Removal — service/add-on card,/services,,addon:bug_tar_removal,Check live Photo Studio
43,[ ],Addon Card,Truck Box Wash — service/add-on card,/services,,addon:truck_box_wash,Check live Photo Studio
44,[ ],Addon Card,Fleet Vehicle Add-On — service/add-on card,/services,,addon:fleet_vehicle_add_on,Check live Photo Studio
45,[ ],Landing Hero,Ceramic coating — landing page hero,/ceramic-coating,hero,landing:ceramic-coating:hero,Check live Photo Studio
46,[ ],Landing Gallery,Ceramic coating — gallery image 1,/ceramic-coating,1,landing:ceramic-coating:gallery:1,Check live Photo Studio
47,[ ],Landing Gallery,Ceramic coating — gallery image 2,/ceramic-coating,2,landing:ceramic-coating:gallery:2,Check live Photo Studio
48,[ ],Landing Gallery,Ceramic coating — gallery image 3,/ceramic-coating,3,landing:ceramic-coating:gallery:3,Check live Photo Studio
49,[ ],Home Card,Ceramic coating — home service card,/,service,home:service:ceramic-coating,Check live Photo Studio
50,[ ],Landing Hero,Pet hair removal — landing page hero,/pet-hair-removal,hero,landing:pet-hair-removal:hero,Check live Photo Studio
